Source,Remove,checks_passed,dataset_id,dataset_name,heterogeneous,Deterministic,Artificial,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy
OpenML binary,1,0,1219,Click_prediction_small,,,,,,,,,,1,,,,9,134178,0,0,2,0,11,399482,"0,5691233864","0,5598919243",1
OpenML binary,1,1,1220,Click_prediction_small,,,,,,,,,,1,,,,7,13456,0,0,2,0,9,39948,"0,6008917513","0,5683428288",0
OpenML binary,1,1,1235,Agrawal1,,,,,1,,,,,,,,1,6,655910,3,0,0,0,9,1000000,"0,935321007","0,500170567",0
OpenML binary,,0,1240,AirlinesCodrnaAdult,,,,,,,,,,,,,,13,947304,16,0,0,0,29,1076790,"0,6739822529","0,7228205649",1
OpenML binary,,0,1241,codrnaNorm,,,,,,,,,,,,,,8,325710,0,0,0,0,8,488565,"0,9235499651","0,9336128581",1
OpenML binary,,0,1242,vehicleNorm,,,,,,,,,,,,,,100,98528,0,0,0,0,100,98528,"0,8599512464","0,8462687741",1
OpenML binary,0,1,1461,bank-marketing,,,,,,,,,,,,,,7,10578,9,0,0,0,16,45211,"0,8038437303","0,7554505356",0
OpenML binary,1,1,1471,eeg-eye-state,,,,,,1,,,,,,,,14,13446,0,0,0,0,14,14980,"0,9411502231","0,5585523054",0
OpenML binary,,0,1486,nomao,,,,,,,,,,,,,,74,19688,29,0,15,0,118,34465,"0,962","0,9296444444",1
OpenML binary,0,1,1489,phoneme,1,,0,,,,,,,0,,,0,5,3172,0,0,0,0,5,5404,"0,8825630252","0,7628151261",0
OpenML binary,1,1,1496,ringnorm,,,1,,,,,,,,,,,20,7328,0,0,0,0,20,7400,"0,9740791269","0,7566166439",0
OpenML binary,,0,1507,twonorm,,,,,,,,,,,,,,20,7394,0,0,0,0,20,7400,"0,9708877873","0,9774673276",1
OpenML binary,,0,1558,bank-marketing,,,,,,,,,,,,,,7,1042,9,0,0,0,16,4521,,,
OpenML binary,,0,1590,adult,,,,,,,,,,,,,,6,23374,8,0,0,0,14,48842,"0,7607616921","0,7381838482",1
OpenML binary,,0,1597,creditcard,,,,,,,,,,,,,,29,984,0,0,0,0,29,284807,,,
OpenML binary,0,0,4134,Bioresponse,,,,,,,,,,,,,,419,3434,0,0,1357,0,1776,3751,"0,7901066925","0,7563530553",1
OpenML binary,,0,4154,CreditCardSubset,,,,,,,,,,,,,,30,46,0,0,0,0,30,14240,,,
OpenML binary,1,1,23512,higgs,,,,,,,,,,,1,,,24,92446,0,0,4,1,28,98050,"0,6837749662","0,627436938",0
