checks_passed,dataset_id,dataset_name,heterogeneous,n_features,n_features_probable,n_pseudo_categorical,n_samples,num_categorical_columns,num_columns_missing,num_high_cardinality,num_rows_missing,original_n_features,original_n_samples,ratio_n_p,score_hbgt,score_logistic,too_easy
0,728.0,analcatdata_supreme,,2,2,5.0,4052,0,0,0,0,7,4052,1,,,
0,734.0,ailerons,,33,33,7.0,11656,0,0,0,0,40,13750,1,0.884358021160995,0.8795539033457249,1
0,735.0,cpu_small,,12,12,0.0,4954,0,0,0,0,12,8192,1,0.9175521183591122,0.9010087424344316,1
1,752.0,puma32H,,32,32,0.0,8128,0,0,0,0,32,8192,1,0.8782287822878228,0.6491184911849119,0
0,761.0,cpu_act,,21,21,0.0,4954,0,0,0,0,21,8192,1,0.9279085406859447,0.9195696032279759,1
0,803.0,delta_ailerons,,5,5,0.0,6692,0,0,0,0,5,7129,1,0.9387450199203189,0.9359561752988048,1
1,807.0,kin8nm,,8,8,0.0,8048,0,0,0,0,8,8192,1,0.8746997929606625,0.7334161490683231,0
0,816.0,puma8NH,,8,8,0.0,8156,0,0,0,0,8,8192,1,0.8187167960768289,0.8239476910502657,1
0,819.0,delta_elevators,,5,5,1.0,9464,0,0,0,0,6,9517,1,0.8677464788732394,0.8759154929577464,1
1,821.0,house_16H,,16,16,0.0,13488,0,0,0,0,16,22784,1,0.8838151717321473,0.8221892760069187,0
0,823.0,houses,,8,8,0.0,17828,0,0,0,0,8,20640,1,0.9813049168068798,0.9623605658378512,1
0,833.0,bank32nh,,28,28,4.0,5086,0,0,0,0,32,8192,1,0.7783748361730013,0.789646133682831,1
1,843.0,house_8L,,8,8,0.0,13488,0,0,0,0,8,22784,1,0.8715591796392388,0.8277242401779097,0
0,846.0,elevators,,16,16,2.0,10260,0,0,0,0,18,16599,1,0.8587853199090614,0.8665151023059433,1
0,847.0,wind,,14,14,0.0,6146,0,0,0,0,14,6574,1,0.8594360086767896,0.8513015184381778,1
0,881.0,mv,,14,14,0.0,32894,3,0,0,0,10,40768,1,0.9977646138370404,0.9952498044037107,1
1,901.0,fried,,10,10,0.0,40682,0,0,0,0,10,40768,1,0.9280819250837162,0.8376294681099603,0
0,923.0,visualizing_soil,,5,5,0.0,7776,1,0,0,0,4,8641,1,0.9998285469352766,0.9947706815259323,1
0,959.0,nursery,,27,27,0.0,8640,8,0,0,0,8,12960,1,1.0,1.0,1
0,976.0,JapaneseVowels,,14,14,0.0,3228,0,0,0,0,14,9961,1,0.9865841073271413,0.9589267285861712,1
0,977.0,letter,,16,16,0.0,1626,0,0,0,0,16,20000,1,,,
0,979.0,waveform-5000,,40,40,0.0,3384,0,0,0,0,40,5000,1,0.8769685039370078,0.8681102362204725,1
0,980.0,optdigits,,51,51,13.0,1144,0,0,0,0,64,5620,1,,,
0,981.0,kdd_internet_usage,,205,205,0.0,5430,68,0,4,0,68,10108,1,0.86920245398773,0.8679754601226994,1
0,993.0,kdd_ipums_la_97-small,,43,113,13.0,1683,27,0,4,5336,60,7019,1,,,
0,1002.0,ipums_la_98-small,,54,208,0.0,1681,39,1,0,5804,55,7485,1,,,
0,1018.0,ipums_la_99-small,,56,220,0.0,1623,41,0,0,7221,56,8844,1,,,
0,1019.0,pendigits,,16,16,0.0,2288,0,0,0,0,16,10992,1,,,
0,1021.0,page-blocks,,10,10,0.0,1120,0,0,0,0,10,5473,1,,,
0,1037.0,ada_prior,,13,61,0.0,2264,8,0,1,0,14,4562,1,,,
0,1039.0,hiva_agnostic,,0,0,1617.0,4229,0,0,0,0,1617,4229,1,,,
0,1040.0,sylva_prior,,20,20,88.0,1772,0,0,0,0,108,14395,1,,,
